block,timestamp,trade_size_usdc,uniswap_price,sushiswap_price,signed_spread,absolute_spread,relative_spread_pct,spot_buy_dex,spot_sell_dex,route_a_pnl,route_a_return_pct,route_b_pnl,route_b_return_pct,best_route,best_final_usdc,best_pnl_before_gas,best_return_before_gas_pct,profitable_before_gas
26011743,2026-09-19 13:04:47+00:00,1000.0,2641.471249037311,2641.417072362232,-0.05417667507870892,0.05417667507870892,0.0020510458437469877,SushiSwap V2,Uniswap V3,-10.39537,-1.039537,-10.432403,-1.0432403,SushiSwap V2 -> Uniswap V3,989.60463,-10.39537,-1.039537,False
26011744,2026-09-19 13:04:59+00:00,1000.0,2641.4714860096437,2641.417072362232,-0.05441364741185414,0.05441364741185414,0.00206001725290553,SushiSwap V2,Uniswap V3,-10.395281,-1.0395281,-10.432491,-1.0432491,SushiSwap V2 -> Uniswap V3,989.604719,-10.395281,-1.0395281,False
26011745,2026-09-19 13:05:11+00:00,1000.0,2641.5899735075814,2641.417072362232,-0.17290114534941484,0.17290114534941484,0.006545772235612474,SushiSwap V2,Uniswap V3,-10.350891,-1.0350891,-10.47657,-1.047657,SushiSwap V2 -> Uniswap V3,989.649109,-10.350891,-1.0350891,False
26011746,2026-09-19 13:05:23+00:00,1000.0,2641.5852981938306,2641.417072362232,-0.16822583159838245,0.16822583159838245,0.006368772026143424,SushiSwap V2,Uniswap V3,-10.352642,-1.0352642,-10.474831,-1.0474831,SushiSwap V2 -> Uniswap V3,989.647358,-10.352642,-1.0352642,False
26011747,2026-09-19 13:05:35+00:00,1000.0,2641.5852981938306,2641.417072362232,-0.16822583159838245,0.16822583159838245,0.006368772026143424,SushiSwap V2,Uniswap V3,-10.352642,-1.0352642,-10.474831,-1.0474831,SushiSwap V2 -> Uniswap V3,989.647358,-10.352642,-1.0352642,False
26011748,2026-09-19 13:05:47+00:00,1000.0,2641.823572240765,2641.417072362232,-0.40649987853289127,0.40649987853289127,0.015389462072695566,SushiSwap V2,Uniswap V3,-10.263375,-1.0263375,-10.56346,-1.056346,SushiSwap V2 -> Uniswap V3,989.736625,-10.263375,-1.0263375,False
26011749,2026-09-19 13:05:59+00:00,1000.0,2641.823572240765,2641.417072362232,-0.40649987853289127,0.40649987853289127,0.015389462072695566,SushiSwap V2,Uniswap V3,-10.263375,-1.0263375,-10.56346,-1.056346,SushiSwap V2 -> Uniswap V3,989.736625,-10.263375,-1.0263375,False
26011750,2026-09-19 13:06:11+00:00,1000.0,2641.8048738222956,2641.417072362232,-0.3878014600634304,0.3878014600634304,0.014681568621672369,SushiSwap V2,Uniswap V3,-10.27038,-1.027038,-10.556505,-1.0556505,SushiSwap V2 -> Uniswap V3,989.72962,-10.27038,-1.027038,False
26011751,2026-09-19 13:06:23+00:00,1000.0,2641.8048738222956,2641.417072362232,-0.3878014600634304,0.3878014600634304,0.014681568621672369,SushiSwap V2,Uniswap V3,-10.27038,-1.027038,-10.556505,-1.0556505,SushiSwap V2 -> Uniswap V3,989.72962,-10.27038,-1.027038,False
26011752,2026-09-19 13:06:35+00:00,1000.0,2641.8048738222956,2641.417072362232,-0.3878014600634304,0.3878014600634304,0.014681568621672369,SushiSwap V2,Uniswap V3,-10.27038,-1.027038,-10.556505,-1.0556505,SushiSwap V2 -> Uniswap V3,989.72962,-10.27038,-1.027038,False
26011753,2026-09-19 13:06:47+00:00,1000.0,2641.8048738222956,2641.417072362232,-0.3878014600634304,0.3878014600634304,0.014681568621672369,SushiSwap V2,Uniswap V3,-10.27038,-1.027038,-10.556505,-1.0556505,SushiSwap V2 -> Uniswap V3,989.72962,-10.27038,-1.027038,False
26011754,2026-09-19 13:06:59+00:00,1000.0,2641.8048738222956,2641.417072362232,-0.3878014600634304,0.3878014600634304,0.014681568621672369,SushiSwap V2,Uniswap V3,-10.27038,-1.027038,-10.556505,-1.0556505,SushiSwap V2 -> Uniswap V3,989.72962,-10.27038,-1.027038,False
26011755,2026-09-19 13:07:11+00:00,1000.0,2640.1423364371753,2641.417072362232,1.27473592505663,1.27473592505663,0.04828284852160142,Uniswap V3,SushiSwap V2,-10.893223,-1.0893223,-9.93775,-0.993775,Uniswap V3 -> SushiSwap V2,990.06225,-9.93775,-0.993775,False
